,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,,,,,0,0,0,,,,,,,
2020-01-24,,,,,0,0,0,,,,,,,
2020-01-25,,,,,0,0,0,,,,,,,
2020-01-26,,,,,0,0,0,,,,,,,
2020-01-27,,,,,0,0,0,,,,,,,
2020-01-28,,,,,0,0,0,,,,,,,
2020-01-29,1.0,0.0,0.0,0.0,1,0,0,1.0,0.0,1.0,,,,
2020-01-30,,,,,1,0,0,,,,,,,
2020-01-31,,,,,1,0,0,,,,,,,
2020-02-01,,,,,1,0,0,,,,,,,
2020-02-02,,,,,1,0,0,,,,,,,
2020-02-03,,,,,1,0,0,,,,,,,
2020-02-04,,,,,1,0,0,,,,,,,
2020-02-05,,,,,1,0,0,,,,1.0,0.0,1.0,0.0
2020-02-06,,,,,1,0,0,,,,,,,
2020-02-07,,,,,1,0,0,,,,1.0,0.0,1.0,0.0
2020-02-08,,,,,1,0,0,,,,,,,
2020-02-09,,,,,1,0,0,,,,,,,
2020-02-10,,,,,1,0,0,,,,,,,
2020-02-11,,,,,1,0,0,,,,,,,
2020-02-12,,,,,1,0,1,,,,,,,
2020-02-13,,,,,1,0,1,,,,,,,
2020-02-14,,,,,1,0,1,,,,,,,
2020-02-15,,,,,1,0,1,,,,,,,
2020-02-16,,,,,1,0,1,,,,,,,
2020-02-17,,,,,1,0,1,,,,,,,
2020-02-18,,,,,1,0,1,,,,,,,
2020-02-19,,,,,1,0,1,,,,,,,
2020-02-20,,,,,1,0,1,,,,,,,
2020-02-21,,,,,1,0,1,,,,,,,
2020-02-22,,,,,1,0,1,,,,,,,
2020-02-23,,,,,1,0,1,,,,,,,
2020-02-24,,,,,1,0,1,,,,,,,
2020-02-25,,,,,1,0,1,,,,,,,
2020-02-26,2.0,0.0,0.0,0.0,2,0,1,,,,,,,
2020-02-27,,,,,2,0,1,,,,,,,
